## evidence manifest refresh check after targeted valence-hyperion digest refresh
cwd=/home/brittonr/git/mc
date_utc=2026-06-23T20:22:38Z
command=nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/protocol-763-survival-crafting-table-progress-2026-05-30.b3:5: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-survival-crafting-table-progress-2026-05-30.b3:7: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-survival-reference-paper-fixture-gate-2026-05-28.b3:1: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-wan-tolerance-bounded-telemetry-2026-05-29.b3:12: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-wan-tolerance-bounded-telemetry-2026-05-29.b3:13: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-wan-tolerance-bounded-telemetry-2026-05-29.b3:14: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/resource-pack-status-local-rail-2026-06-07.b3:1: stale digest for compat/runner/src/scenario_core.rs: expected 0d2d7db63963dd4a918477786cd84a6ada4b5df30865a750e961cf7abd97464f, found fe747b2ee1e9b47b46f4a2162828d7d67d2c24497f5093a483d5ca721438f573
evidence manifest refresh failed: docs/evidence/resource-pack-status-local-rail-2026-06-07.b3:2: stale digest for tools/check_scenario_manifest.rs: expected 4ac57f712d9fc2f7c49a1afd6401001c2bb145286b21456f82d8fd5b29ab7495, found 64b474ea841f8378c1c2b4b9f6a9f6a18c9248d9b3264bedefecbe49d463ff2a
evidence manifest refresh failed: docs/evidence/runner-scenario-modules-2026-06-06.b3:1: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/runner-scenario-modules-2026-06-06.b3:2: stale digest for compat/runner/src/scenario_core.rs: expected 0d2d7db63963dd4a918477786cd84a6ada4b5df30865a750e961cf7abd97464f, found fe747b2ee1e9b47b46f4a2162828d7d67d2c24497f5093a483d5ca721438f573
evidence manifest refresh failed: docs/evidence/runner-scenario-modules-2026-06-06.b3:3: stale digest for tools/check_scenario_manifest.rs: expected 4ac57f712d9fc2f7c49a1afd6401001c2bb145286b21456f82d8fd5b29ab7495, found 64b474ea841f8378c1c2b4b9f6a9f6a18c9248d9b3264bedefecbe49d463ff2a
